iter	Passed	Remaining
370	1681	2850
371	1685	2844
372	1689	2840
373	1693	2834
374	1698	2830
375	1700	2822
376	1705	2818
377	1708	2811
378	1710	2803
379	1715	2799
380	1721	2796
381	1725	2791
382	1729	2785
383	1732	2779
384	1737	2775
385	1740	2768
386	1744	2762
387	1748	2757
388	1754	2756
389	1759	2751
390	1762	2745
391	1766	2740
392	1771	2735
393	1774	2729
394	1778	2724
395	1784	2721
396	1788	2715
397	1791	2710
398	1796	2706
399	1804	2706
400	1808	2701
401	1811	2695
402	1816	2691
403	1820	2685
404	1823	2679
405	1829	2676
406	1832	2669
407	1836	2664
408	1839	2657
409	1844	2654
410	1847	2647
411	1852	2643
412	1854	2636
413	1858	2630
414	1861	2624
415	1867	2622
416	1870	2614
417	1873	2608
418	1877	2603
419	1882	2599
420	1885	2592
421	1889	2588
422	1892	2581
423	1896	2576
424	1900	2571
425	1904	2565
426	1913	2567
427	1916	2561
428	1918	2553
429	1922	2548
430	1927	2544
431	1931	2539
432	1935	2534
433	1939	2528
434	1941	2522
435	1945	2516
436	1949	2511
437	1952	2505
438	1954	2498
439	1958	2492
440	1963	2489
441	1967	2483
442	1971	2478
443	1975	2474
444	1980	2470
445	1984	2465
446	1989	2461
447	1993	2456
448	1998	2452
449	2002	2446
450	2006	2441
451	2011	2438
452	2015	2434
453	2018	2428
454	2022	2423
455	2027	2418
456	2031	2413
457	2035	2408
458	2039	2404
459	2045	2401
460	2050	2397
461	2055	2393
462	2059	2388
463	2064	2384
464	2068	2379
465	2073	2376
466	2080	2374
467	2083	2368
468	2087	2363
469	2092	2359
470	2096	2355
471	2103	2353
472	2108	2348
473	2113	2345
474	2117	2340
475	2121	2335
476	2126	2331
477	2129	2325
478	2133	2320
479	2137	2315
480	2142	2311
481	2145	2306
482	2150	2301
483	2155	2297
484	2160	2293
485	2163	2287
486	2167	2283
487	2172	2279
488	2179	2277
489	2182	2272
490	2188	2268
491	2193	2264
492	2196	2259
493	2200	2253
494	2205	2250
495	2210	2245
496	2213	2239
497	2216	2234
498	2219	2228
499	2223	2223
500	2227	2218
501	2230	2212
502	2233	2207
503	2237	2202
504	2242	2198
505	2246	2193
506	2250	2187
507	2254	2183
508	2257	2177
509	2261	2172
510	2264	2166
511	2267	2161
512	2269	2154
513	2273	2149
514	2277	2144
515	2281	2139
516	2284	2134
517	2288	2129
518	2291	2124
519	2295	2118
520	2300	2114
521	2305	2111
522	2309	2106
523	2312	2100
524	2315	2095
525	2320	2091
526	2323	2085
527	2327	2080
528	2330	2074
529	2334	2069
530	2338	2065
531	2341	2060
532	2343	2053
533	2348	2049
534	2352	2044
535	2354	2038
536	2357	2032
537	2360	2027
538	2363	2021
539	2366	2015
540	2370	2011
541	2372	2004
542	2375	1998
543	2377	1993
544	2386	1992
545	2389	1986
546	2392	1981
547	2397	1977
548	2402	1973
549	2406	1968
550	2409	1963
551	2413	1958
552	2418	1954
553	2421	1949
554	2423	1943
555	2426	1937
556	2430	1932
557	2434	1928
558	2438	1923
559	2441	1918
560	2445	1913
561	2448	1908
562	2452	1903
563	2455	1898
564	2458	1892
565	2460	1887
566	2463	1881
567	2467	1876
568	2470	1871
569	2473	1865
570	2477	1861
571	2479	1855
572	2484	1851
573	2487	1846
574	2491	1841
575	2503	1842
576	2506	1837
577	2510	1833
578	2514	1828
579	2517	1823
580	2521	1818
581	2523	1812
582	2527	1807
583	2532	1803
584	2535	1798
585	2537	1792
586	2540	1787
587	2543	1782
588	2546	1777
589	2550	1772
590	2552	1766
591	2554	1760
592	2556	1754
593	2559	1749
594	2561	1743
595	2565	1739
596	2568	1734
597	2571	1728
598	2574	1723
599	2577	1718
600	2581	1714
601	2584	1708
602	2587	1703
603	2589	1697
604	2592	1692
605	2596	1688
606	2599	1682
607	2601	1677
608	2604	1672
609	2607	1667
610	2610	1661
611	2614	1657
612	2618	1652
613	2620	1647
614	2623	1642
615	2626	1637
616	2630	1633
617	2634	1628
618	2637	1623
619	2641	1618
620	2646	1614
621	2648	1609
622	2651	1604
623	2656	1600
624	2659	1595
625	2662	1590
626	2664	1585
627	2667	1579
628	2670	1575
629	2674	1570
630	2679	1566
631	2682	1561
632	2685	1557
633	2689	1552
634	2691	1547
635	2695	1542
636	2698	1537
637	2701	1532
638	2704	1528
639	2710	1524
640	2713	1519
641	2716	1514
642	2719	1509
643	2723	1505
644	2727	1501
645	2730	1496
646	2733	1491
647	2737	1487
648	2740	1481
649	2744	1477
650	2746	1472
651	2749	1467
652	2753	1462
653	2755	1457
654	2758	1453
655	2760	1447
656	2764	1443
657	2766	1437
658	2769	1432
659	2771	1427
660	2774	1423
661	2777	1418
662	2781	1413
663	2783	1408
664	2787	1404
665	2792	1400
666	2796	1396
667	2799	1391
668	2803	1387
669	2808	1383
670	2810	1378
671	2814	1373
672	2817	1368
673	2821	1364
674	2825	1360
675	2827	1355
676	2830	1350
677	2833	1345
678	2837	1341
679	2841	1337
680	2843	1332
681	2845	1326
682	2848	1321
683	2851	1317
684	2854	1312
685	2857	1308
686	2860	1303
687	2863	1298
688	2865	1293
689	2868	1288
690	2872	1284
691	2875	1279
692	2877	1274
693	2879	1269
694	2882	1265
695	2886	1260
696	2890	1256
697	2893	1252
698	2898	1247
699	2901	1243
700	2905	1239
701	2908	1234
702	2911	1230
703	2915	1226
704	2919	1221
705	2922	1217
706	2925	1212
707	2927	1207
708	2929	1202
709	2933	1198
710	2937	1193
711	2939	1188
712	2942	1184
713	2946	1180
714	2949	1175
715	2951	1170
716	2955	1166
717	2958	1161
718	2960	1157
719	2963	1152
720	2966	1147
721	2970	1143
722	2973	1139
723	2976	1134
724	2978	1129
725	2982	1125
726	2986	1121
727	2990	1117
728	2993	1112
729	2997	1108
730	3001	1104
731	3005	1100
732	3007	1095
733	3010	1090
734	3014	1086
735	3017	1082
736	3020	1078
737	3024	1073
738	3028	1069
739	3032	1065
740	3035	1061
741	3039	1056
742	3041	1052
743	3045	1047
744	3047	1043
745	3052	1039
746	3055	1034
747	3058	1030
748	3061	1025
749	3064	1021
750	3068	1017
751	3071	1012
752	3073	1008
753	3077	1003
754	3081	999
755	3085	995
756	3088	991
757	3091	987
758	3095	982
759	3099	978
760	3102	974
761	3105	970
762	3109	965
763	3111	961
764	3115	957
765	3118	952
766	3120	948
767	3123	943
768	3125	938
769	3128	934
770	3132	930
771	3136	926
772	3138	921
773	3142	917
774	3147	913
775	3150	909
776	3153	905
777	3157	901
778	3160	896
779	3164	892
780	3167	888
781	3170	883
782	3173	879
783	3178	875
784	3183	871
785	3186	867
786	3190	863
787	3193	859
788	3198	855
789	3201	850
790	3203	846
791	3205	841
792	3209	837
793	3213	833
794	3216	829
795	3218	824
796	3220	820
797	3223	816
798	3226	811
799	3230	807
800	3233	803
801	3236	799
802	3240	794
803	3242	790
804	3246	786
805	3250	782
806	3253	778
807	3257	773
808	3261	769
809	3263	765
810	3266	761
811	3269	756
812	3278	754
813	3282	749
814	3285	745
815	3288	741
816	3291	737
817	3296	733
818	3299	729
819	3301	724
820	3305	720
821	3308	716
822	3311	712
823	3315	708
824	3319	704
825	3322	699
826	3327	696
827	3331	692
828	3333	687
829	3337	683
830	3339	679
831	3343	675
832	3346	670
833	3349	666
834	3351	662
835	3355	658
836	3358	653
837	3361	649
838	3364	645
839	3367	641
840	3371	637
841	3376	633
842	3379	629
843	3382	625
844	3384	620
845	3387	616
846	3390	612
847	3393	608
848	3396	604
849	3398	599
850	3402	595
851	3404	591
852	3407	587
853	3410	583
854	3412	578
855	3415	574
856	3418	570
857	3422	566
858	3424	562
859	3427	557
860	3430	553
861	3433	549
862	3436	545
863	3439	541
864	3442	537
865	3446	533
866	3450	529
867	3453	525
868	3456	521
869	3460	517
870	3463	512
871	3466	508
872	3470	504
873	3475	501
874	3478	496
875	3482	492
876	3485	488
877	3490	484
878	3492	480
879	3495	476
880	3499	472
881	3502	468
882	3506	464
883	3509	460
884	3512	456
885	3516	452
886	3521	448
887	3524	444
888	3527	440
889	3530	436
890	3534	432
891	3538	428
892	3542	424
893	3544	420
894	3548	416
895	3551	412
896	3556	408
897	3560	404
898	3563	400
899	3566	396
900	3572	392
901	3575	388
902	3579	384
903	3582	380
904	3587	376
905	3589	372
906	3592	368
907	3595	364
908	3598	360
909	3603	356
910	3606	352
911	3608	348
912	3612	344
913	3615	340
914	3618	336
915	3621	332
916	3624	328
917	3628	324
918	3631	320
919	3634	316
920	3637	312
921	3640	307
922	3643	303
923	3647	300
924	3652	296
925	3654	292
926	3657	288
927	3662	284
928	3665	280
929	3669	276
930	3672	272
931	3675	268
932	3679	264
933	3683	260
934	3687	256
935	3689	252
936	3693	248
937	3697	244
938	3700	240
939	3704	236
940	3706	232
941	3710	228
942	3713	224
943	3717	220
944	3719	216
945	3722	212
946	3726	208
947	3729	204
948	3734	200
949	3737	196
950	3739	192
951	3742	188
952	3745	184
953	3749	180
954	3752	176
955	3755	172
956	3758	168
957	3762	164
958	3767	161
959	3770	157
960	3773	153
961	3777	149
962	3782	145
963	3785	141
964	3788	137
965	3792	133
966	3796	129
967	3799	125
968	3802	121
969	3805	117
970	3808	113
971	3813	109
972	3816	105
973	3819	101
974	3822	98
975	3826	94
976	3830	90
977	3832	86
978	3836	82
979	3838	78
980	3841	74
981	3845	70
982	3848	66
983	3850	62
984	3852	58
985	3855	54
986	3859	50
987	3863	46
988	3867	43
989	3870	39
990	3873	35
991	3876	31
992	3880	27
993	3883	23
994	3886	19
995	3890	15
996	3892	11
997	3896	7
998	3898	3
999	3901	0
