iter	RMSE
201	1653.991338
202	1652.63332
203	1649.105242
204	1647.553058
205	1646.179884
206	1645.389354
207	1644.296164
208	1643.039241
209	1641.881469
210	1641.63959
211	1640.126637
212	1639.371383
213	1638.455134
214	1636.663443
215	1636.192107
216	1635.548908
217	1633.990443
218	1633.768324
219	1632.479299
220	1631.832206
221	1631.0416
222	1630.872055
223	1629.771035
224	1629.676808
225	1628.630649
226	1627.090871
227	1626.5471
228	1625.740808
229	1623.521307
230	1622.947835
231	1621.809814
232	1620.773813
233	1618.727408
234	1616.618073
235	1613.243904
236	1611.366682
237	1610.764903
238	1607.734834
239	1606.29282
240	1604.948965
241	1603.549186
242	1603.221561
243	1602.307499
244	1599.94
245	1598.797637
246	1597.781349
247	1597.347586
248	1596.474787
249	1593.769789
250	1593.228352
251	1592.493751
252	1592.297425
253	1591.592037
254	1590.706422
255	1590.479007
256	1590.035253
257	1589.192097
258	1588.749488
259	1587.792199
260	1585.67039
261	1585.056782
262	1582.12498
263	1580.404533
264	1578.74829
265	1578.127461
266	1577.62244
267	1575.513436
268	1573.8532
269	1573.735631
270	1573.029117
271	1571.735447
272	1571.604222
273	1569.365368
274	1567.477743
275	1566.249824
276	1566.194837
277	1565.39277
278	1564.576841
279	1563.224435
280	1562.927604
281	1562.257738
282	1560.801733
283	1560.270436
284	1559.970744
285	1559.090098
286	1557.197326
287	1556.107439
288	1554.539795
289	1553.695681
290	1553.290795
291	1552.051739
292	1551.354506
293	1549.922377
294	1549.665831
295	1549.030986
296	1548.710051
297	1547.597737
298	1546.301983
299	1546.179914
300	1545.49734
301	1545.006808
302	1544.594967
303	1542.864765
304	1542.346814
305	1541.40822
306	1541.105805
307	1540.670075
308	1539.178797
309	1538.542053
310	1537.784112
311	1537.354937
312	1535.811707
313	1533.529152
314	1532.933637
315	1532.584245
316	1532.152858
317	1531.176357
318	1530.003986
319	1528.315744
320	1527.558853
321	1525.838641
322	1524.243197
323	1521.331695
324	1518.699076
325	1518.313985
326	1517.272921
327	1516.180227
328	1515.74243
329	1515.276731
330	1513.765612
331	1511.149467
332	1509.895791
333	1509.438305
334	1507.436009
335	1507.146068
336	1506.343265
337	1505.133208
338	1503.892939
339	1503.169306
340	1502.537363
341	1501.939187
342	1501.511434
343	1501.105758
344	1500.574285
345	1499.324683
346	1498.801751
347	1496.485197
348	1494.273668
349	1493.170254
350	1491.635532
351	1489.919829
352	1489.477855
353	1489.099945
354	1487.752815
355	1487.2968
356	1486.968705
357	1485.810371
358	1485.180591
359	1484.150403
360	1483.887535
361	1483.12055
362	1482.026207
363	1481.394542
364	1480.445911
365	1479.398575
366	1479.051966
367	1477.638208
368	1477.268776
369	1476.240738
370	1475.399709
371	1474.220957
372	1473.368354
373	1472.648987
374	1472.36017
375	1472.170285
376	1471.521635
377	1471.27922
378	1471.201619
379	1469.406833
380	1468.934058
381	1468.102311
382	1467.109195
383	1466.181362
384	1465.258274
385	1465.154712
386	1463.254415
387	1461.64513
388	1460.732914
389	1459.927708
390	1459.616159
391	1458.427667
392	1456.860858
393	1456.414694
394	1455.620973
395	1455.444824
396	1454.520676
397	1453.933919
398	1453.67425
399	1452.596895
400	1451.548136
401	1451.480466
402	1450.721557
403	1449.260395
404	1448.559393
405	1447.476442
406	1447.174025
407	1446.274023
408	1445.975723
409	1444.528319
410	1444.314738
411	1443.160715
412	1442.930166
413	1441.710063
414	1441.38303
415	1439.904025
416	1439.431878
417	1438.716538
418	1437.675223
419	1436.316003
420	1436.213454
421	1435.21261
422	1434.908949
423	1434.502926
424	1434.126493
425	1431.832418
426	1430.770947
427	1429.803054
428	1429.406806
429	1429.124494
430	1428.755679
431	1427.918911
432	1427.36978
433	1426.137888
434	1425.816387
435	1424.988856
436	1424.790244
437	1424.560389
438	1423.970721
439	1422.989476
440	1422.441926
441	1422.336024
442	1421.753761
443	1420.645907
444	1419.179298
445	1418.117087
446	1416.844498
447	1416.203665
448	1415.256488
449	1414.497996
450	1414.378581
451	1413.464837
452	1412.348924
453	1411.278099
454	1410.196056
455	1409.193427
456	1409.011475
457	1407.96845
458	1406.988061
459	1406.241996
460	1406.067717
461	1405.267015
462	1405.064568
463	1404.781263
464	1403.895517
465	1402.802285
466	1402.015155
467	1401.070055
468	1399.960855
469	1399.086954
470	1397.952882
471	1396.554115
472	1395.797779
473	1393.629849
474	1392.66658
475	1392.242343
476	1392.197167
477	1392.002079
478	1391.677694
479	1391.544326
480	1390.916878
481	1390.304711
482	1390.077574
483	1389.163521
484	1388.301286
485	1387.080414
486	1386.312199
487	1383.769583
488	1383.517792
489	1382.966008
490	1381.73256
491	1381.692262
492	1379.972822
493	1379.084091
494	1377.348055
495	1377.185912
496	1376.278925
497	1375.520836
498	1375.305801
499	1373.869541
500	1373.495167
501	1373.430269
502	1372.586021
503	1371.912193
504	1370.795718
505	1370.068614
506	1369.343098
507	1368.397455
508	1367.817604
509	1367.632963
510	1367.235528
511	1366.43546
512	1366.025612
513	1365.075831
514	1364.486116
515	1363.686464
516	1362.941789
517	1362.743604
518	1362.614163
519	1361.675113
520	1360.603234
521	1360.377807
522	1360.127957
523	1359.165012
524	1356.982184
525	1355.916856
526	1355.437778
527	1354.385867
528	1354.324288
529	1353.71583
530	1353.477865
531	1353.162998
532	1352.789774
533	1352.478339
534	1351.857124
535	1351.595829
536	1350.426321
537	1349.622104
538	1349.28908
539	1349.046844
540	1348.925871
541	1348.706895
542	1347.972577
543	1346.579463
544	1345.977681
545	1345.837109
546	1344.884872
547	1344.224451
548	1343.367589
549	1342.59351
550	1341.829005
551	1341.293197
552	1340.859547
553	1339.892255
554	1339.367011
555	1338.664225
556	1337.594335
557	1336.822177
558	1336.660633
559	1336.160347
560	1336.045477
561	1335.338007
562	1335.126596
563	1334.510406
564	1332.91328
565	1332.35583
566	1332.290784
567	1330.987441
568	1328.471572
569	1327.604286
570	1326.479517
571	1326.070338
572	1325.337681
573	1324.228211
574	1323.114737
575	1322.318255
576	1321.978849
577	1321.45051
578	1321.118605
579	1320.811009
580	1319.031703
581	1318.703578
582	1316.564663
583	1315.637752
584	1315.172364
585	1313.845387
586	1313.318942
587	1313.161948
588	1312.866942
589	1312.617777
590	1312.20667
591	1311.802349
592	1311.450848
593	1310.102993
594	1309.721011
595	1308.340467
596	1308.117842
597	1307.166982
598	1305.947909
599	1305.619804
600	1304.589108
601	1303.654836
602	1303.340636
603	1302.972826
604	1302.661238
605	1301.976253
606	1301.082114
607	1300.47748
608	1299.247483
609	1297.990264
610	1297.118695
611	1296.724257
612	1296.54382
613	1295.944313
614	1295.472552
615	1294.914274
616	1293.693231
617	1292.686783
618	1291.823781
619	1291.096802
620	1290.454895
621	1290.190858
622	1289.456878
623	1289.119412
624	1288.999304
625	1288.639249
626	1288.130755
627	1287.623904
628	1287.092403
629	1286.679897
630	1285.660718
631	1285.224805
632	1284.862814
633	1284.404009
634	1284.042519
635	1283.710707
636	1283.553891
637	1282.676254
638	1282.077404
639	1281.84628
640	1281.304738
641	1280.406167
642	1280.300015
643	1280.020539
644	1279.756231
645	1278.847953
646	1278.749658
647	1278.163276
648	1277.588019
649	1276.918173
650	1276.073537
651	1275.90197
652	1274.663589
653	1274.388727
654	1273.882076
655	1273.322939
656	1271.86695
657	1271.537573
658	1271.342738
659	1271.043601
660	1270.911663
661	1270.509782
662	1270.011118
663	1269.62312
664	1269.026685
665	1268.230463
666	1268.099147
667	1267.910548
668	1267.53354
669	1267.264933
670	1267.09297
671	1266.358299
672	1265.80042
673	1265.314921
674	1264.814737
675	1264.683854
676	1263.800573
677	1263.156444
678	1262.099274
679	1261.826565
680	1261.576075
681	1261.434792
682	1261.15702
683	1260.882735
684	1260.626156
685	1260.458701
686	1260.341332
687	1259.198166
688	1259.124688
689	1258.799135
690	1258.448507
691	1258.239455
692	1258.115255
693	1257.939159
694	1257.634753
695	1257.370196
696	1257.129663
697	1256.204629
698	1256.010688
699	1255.762721
700	1255.466941
701	1255.117456
702	1255.020309
703	1254.85102
704	1253.460344
705	1253.378901
706	1253.108276
707	1252.886296
708	1252.628686
709	1252.462544
710	1251.636648
711	1251.30048
712	1250.168875
713	1249.895185
714	1249.364156
715	1249.059631
716	1248.636911
717	1247.62095
718	1246.886746
719	1246.098723
720	1245.773393
721	1245.400153
722	1244.679956
723	1244.138175
724	1243.677117
725	1242.607062
726	1242.312439
727	1241.819653
728	1241.517945
729	1240.697372
730	1240.024104
731	1239.655971
732	1239.05834
733	1238.914108
734	1238.50749
735	1237.160638
736	1236.694882
737	1235.958151
738	1235.725521
739	1235.496108
740	1235.117709
741	1234.838073
742	1234.649193
743	1234.349415
744	1233.967515
745	1233.485427
746	1233.077543
747	1232.555464
748	1232.366145
749	1231.792477
750	1230.721584
751	1230.016004
752	1229.987673
753	1229.875768
754	1229.211392
755	1229.097191
756	1229.010326
757	1228.465121
758	1228.086956
759	1227.753961
760	1227.296703
761	1226.629634
762	1225.746273
763	1225.322736
764	1224.358947
765	1224.215479
766	1222.876467
767	1222.646343
768	1222.052175
769	1221.791933
770	1221.340582
771	1221.214485
772	1219.789943
773	1219.204626
774	1219.036157
775	1218.195434
776	1217.922477
777	1217.380001
778	1217.223856
779	1217.052417
780	1215.438578
781	1215.101231
782	1214.617808
783	1214.081697
784	1214.057941
785	1213.631176
786	1212.934213
787	1212.891502
788	1212.567514
789	1212.362856
790	1212.068803
791	1211.917749
792	1211.625803
793	1211.273117
794	1210.199334
795	1210.074342
796	1209.746671
797	1209.66297
798	1209.584479
799	1209.452111
800	1208.898003
801	1206.805881
802	1206.413766
803	1206.325533
804	1206.231047
805	1205.464478
806	1205.255694
807	1205.091702
808	1204.964658
809	1204.501633
810	1204.422856
811	1203.823972
812	1203.493264
813	1203.282654
814	1202.242931
815	1201.297114
816	1201.122472
817	1200.588884
818	1200.190981
819	1199.758997
820	1199.405535
821	1199.374387
822	1198.975963
823	1198.830354
824	1198.633677
825	1197.69698
826	1197.218179
827	1196.973884
828	1196.756173
829	1196.600515
830	1195.603627
831	1195.435086
832	1195.030748
833	1194.837364
834	1194.437487
835	1193.137215
836	1192.86762
837	1192.605036
838	1191.933163
839	1191.756597
840	1189.21817
841	1188.862249
842	1188.820371
843	1188.590478
844	1187.989111
845	1187.375355
846	1187.180729
847	1186.820834
848	1186.666378
849	1186.303464
850	1186.046862
851	1185.766708
852	1184.43989
853	1183.792
854	1182.637897
855	1181.315524
856	1180.878859
857	1180.696254
858	1179.822816
859	1179.278618
860	1178.91602
861	1178.755811
862	1178.583416
863	1178.303339
864	1178.230604
865	1177.170544
866	1176.920713
867	1176.325823
868	1176.015242
869	1175.807024
870	1175.529767
871	1174.685313
872	1174.600796
873	1174.389536
874	1174.249831
875	1173.589271
876	1172.919784
877	1172.328937
878	1171.768286
879	1171.573918
880	1171.178442
881	1171.14158
882	1170.87569
883	1170.19239
884	1170.110627
885	1169.828208
886	1169.480351
887	1169.07366
888	1169.004888
889	1168.687342
890	1168.441239
891	1168.236289
892	1167.560182
893	1167.447468
894	1166.859807
895	1166.237549
896	1166.009393
897	1165.382
898	1165.046231
899	1164.684894
900	1164.126936
901	1163.609482
902	1162.768146
903	1162.59841
904	1162.415039
905	1162.362311
906	1162.102533
907	1161.999084
908	1161.902555
909	1161.265381
910	1161.076035
911	1160.987658
912	1160.883397
913	1160.159905
914	1159.603838
915	1158.873009
916	1158.691752
917	1158.633811
918	1157.901921
919	1157.679822
920	1157.333431
921	1157.132419
922	1156.53215
923	1156.232007
924	1156.135384
925	1155.530385
926	1155.066511
927	1154.813454
928	1154.485554
929	1154.188857
930	1153.434113
931	1153.238342
932	1153.112299
933	1152.871177
934	1152.77901
935	1151.639317
936	1151.596025
937	1151.266298
938	1150.878803
939	1150.385721
940	1150.000256
941	1149.683394
942	1148.798244
943	1147.563855
944	1147.361154
945	1147.033465
946	1146.703305
947	1146.052529
948	1145.848087
949	1145.566363
950	1144.93064
951	1144.406793
952	1143.765462
953	1143.630964
954	1143.352837
955	1143.098586
956	1142.906751
957	1142.574511
958	1142.335437
959	1141.96151
960	1141.61998
961	1141.242721
962	1141.100527
963	1140.937079
964	1140.5235
965	1140.313
966	1139.941383
967	1139.504298
968	1139.422601
969	1138.761117
970	1137.754015
971	1137.501229
972	1137.431561
973	1137.387961
974	1136.988986
975	1136.502487
976	1136.364793
977	1136.08769
978	1135.86115
979	1135.579728
980	1134.151691
981	1133.925623
982	1133.514414
983	1133.216453
984	1132.889789
985	1132.630669
986	1132.255799
987	1132.057107
988	1131.572601
989	1131.391945
990	1131.136786
991	1130.989981
992	1130.488952
993	1130.372992
994	1130.338744
995	1129.742159
996	1129.486785
997	1129.347036
998	1128.682243
999	1128.178874
